split,cell_id,method,groups,instances,verified_instances,group_verified_rate,group_verified_ci_low,group_verified_ci_high,conditional_mean_score,median_runtime_s,runtime_q1_s,runtime_q3_s
frozen_test,ood_scale,hungarian,12,24,3,0.125,0.0,0.25,228.87553301745882,0.047551204450428486,0.040123016107827425,0.05093779554590583
frozen_test,ood_scale,hybrid_assignment_milp,12,24,10,0.4166666666666667,0.20833333333333334,0.625,264.83595928610526,3.045163780450821,3.0348484008572996,3.0584993711672723
frozen_test,ood_scale,hybrid_load_balanced,12,24,9,0.375,0.16666666666666666,0.625,288.74759940790244,0.04095079563558102,0.038612005300819874,0.04416413605213165
frozen_test,ood_scale,load_balanced,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,220.6307608437234,0.03764894884079695,0.032789303455501795,0.041416035033762455
frozen_test,ood_scale,order_aware_lns,12,24,12,0.5,0.2916666666666667,0.75,247.03267391539174,0.7097767237573862,0.3833707356825471,1.3313689953647554
frozen_test,ood_tight_windows,assignment_milp,12,24,5,0.20833333333333334,0.08333333333333333,0.3333333333333333,114.72144453035052,1.0174037693068385,0.542858187109232,1.9165143403224647
frozen_test,ood_tight_windows,deterministic_lns,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,102.94679149018768,0.029206354171037674,0.025422757025808096,0.03486093087121844
frozen_test,ood_tight_windows,edge_mlp_seed_17,12,24,8,0.3333333333333333,0.16666666666666666,0.5,121.43334598832573,0.003472408279776573,0.003029185812920332,0.006637495011091232
frozen_test,ood_tight_windows,edge_mlp_seed_29,12,24,11,0.4583333333333333,0.20833333333333334,0.7083333333333334,112.5174853851673,0.004179839976131916,0.003141521941870451,0.006628276780247688
frozen_test,ood_tight_windows,edge_mlp_seed_43,12,24,8,0.3333333333333333,0.16666666666666666,0.5,116.691069380682,0.003321620635688305,0.002892286516726017,0.006372277159243822
frozen_test,ood_tight_windows,greedy,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,119.24867020086091,0.014728283509612083,0.01278429664671421,0.016848687548190355
frozen_test,ood_tight_windows,hungarian,12,24,5,0.20833333333333334,0.08333333333333333,0.3333333333333333,106.35692270971512,0.016027037054300308,0.013981903903186321,0.019555337727069855
frozen_test,ood_tight_windows,hybrid_assignment_milp,12,24,11,0.4583333333333333,0.2916666666666667,0.625,128.9341314884168,1.0177832683548331,0.5484016393311322,1.9153303373605013
frozen_test,ood_tight_windows,hybrid_load_balanced,12,24,6,0.25,0.08333333333333333,0.4583333333333333,150.13307236062275,0.015401496551930904,0.013237591832876205,0.019325735978782177
frozen_test,ood_tight_windows,load_balanced,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,117.06256822668962,0.014827077277004719,0.012825234327465296,0.01704427693039179
frozen_test,ood_tight_windows,order_aware_lns,12,24,12,0.5,0.375,0.625,104.28097231450309,0.2375882137566805,0.13603377202525735,0.5172095140442252
stress,designed_edge_infeasible,assignment_milp,6,6,0,0.0,0.0,0.0,,0.006944223307073116,0.005581613630056381,0.007829480804502964
stress,designed_edge_infeasible,deterministic_lns,6,6,0,0.0,0.0,0.0,,0.013856576755642891,0.011166588868945837,0.01564434077590704
stress,designed_edge_infeasible,edge_mlp_seed_17,6,6,0,0.0,0.0,0.0,,0.0012658694759011269,0.001197147648781538,0.0012890314683318138
stress,designed_edge_infeasible,edge_mlp_seed_29,6,6,0,0.0,0.0,0.0,,0.0010869577527046204,0.0010758559219539165,0.0011143498122692108
stress,designed_edge_infeasible,edge_mlp_seed_43,6,6,0,0.0,0.0,0.0,,0.0010761404410004616,0.0010620797984302044,0.0011020028032362461
stress,designed_edge_infeasible,greedy,6,6,0,0.0,0.0,0.0,,0.00702572800219059,0.005663683172315359,0.007915294729173183
stress,designed_edge_infeasible,hungarian,6,6,0,0.0,0.0,0.0,,0.006964356638491154,0.005615823902189732,0.00784694915637374
stress,designed_edge_infeasible,hybrid_assignment_milp,6,6,0,0.0,0.0,0.0,,0.006937188096344471,0.005600641947239637,0.007838897872716188
stress,designed_edge_infeasible,hybrid_load_balanced,6,6,0,0.0,0.0,0.0,,0.006948506459593773,0.005587642081081867,0.007832854054868221
stress,designed_edge_infeasible,load_balanced,6,6,0,0.0,0.0,0.0,,0.006943001411855221,0.005585324019193649,0.007886698003858328
stress,designed_edge_infeasible,order_aware_lns,6,6,0,0.0,0.0,0.0,,0.006949218921363354,0.005599660333245993,0.007819969672709703
stress,extreme_resource,assignment_milp,6,6,1,0.16666666666666666,0.0,0.5,184.16002167518454,3.0372608257457614,3.0327663235366344,3.038135047070682
stress,extreme_resource,deterministic_lns,6,6,1,0.16666666666666666,0.0,0.5,167.26895519316616,0.06929436326026917,0.06784553686156869,0.07150815427303314
stress,extreme_resource,edge_mlp_seed_17,6,6,0,0.0,0.0,0.0,,0.005748577415943146,0.00563926063477993,0.005873376969248056
stress,extreme_resource,edge_mlp_seed_29,6,6,0,0.0,0.0,0.0,,0.0047920262441039085,0.004755754489451647,0.005037733819335699
stress,extreme_resource,edge_mlp_seed_43,6,6,2,0.3333333333333333,0.0,0.6666666666666666,178.96539500939943,0.005730411037802696,0.004861871711909771,0.010032130405306816
stress,extreme_resource,greedy,6,6,1,0.16666666666666666,0.0,0.5,216.8259590127329,0.03491154778748751,0.034044505562633276,0.03600198728963733
stress,extreme_resource,hungarian,6,6,1,0.16666666666666666,0.0,0.5,202.15141657558502,0.04000698123127222,0.03819238627329469,0.04416036605834961
stress,extreme_resource,hybrid_assignment_milp,6,6,1,0.16666666666666666,0.0,0.5,184.16002167518454,3.0403150524944067,3.0337064350023866,3.0428333319723606
stress,extreme_resource,hybrid_load_balanced,6,6,2,0.3333333333333333,0.0,0.6666666666666666,249.80949674299717,0.03842430096119642,0.0354884322732687,0.04736084816977382
stress,extreme_resource,load_balanced,6,6,1,0.16666666666666666,0.0,0.5,198.9017336699118,0.03585232142359018,0.034824308939278126,0.036987376399338245
stress,extreme_resource,order_aware_lns,6,6,3,0.5,0.16666666666666666,0.8333333333333334,216.05449970907398,0.698249589651823,0.37687674909830093,0.8739171642810106
stress,extreme_scale,assignment_milp,6,6,0,0.0,0.0,0.0,,3.055326208472252,3.0534573518671095,3.0565225249156356
stress,extreme_scale,deterministic_lns,6,6,0,0.0,0.0,0.0,,0.09660171251744032,0.09123597387224436,0.09796183882281184
stress,extreme_scale,edge_mlp_seed_17,6,6,0,0.0,0.0,0.0,,0.008076678030192852,0.007069345097988844,0.008727321866899729
stress,extreme_scale,edge_mlp_seed_29,6,6,0,0.0,0.0,0.0,,0.0071993423625826836,0.006911789067089558,0.007633743807673454
stress,extreme_scale,edge_mlp_seed_43,6,6,0,0.0,0.0,0.0,,0.007398703135550022,0.006932028569281101,0.00758757209405303
stress,extreme_scale,greedy,6,6,0,0.0,0.0,0.0,,0.04878844786435366,0.046576302498579025,0.04941857745870948
stress,extreme_scale,hungarian,6,6,0,0.0,0.0,0.0,,0.06471505761146545,0.0590293575078249,0.06557769468054175
stress,extreme_scale,hybrid_assignment_milp,6,6,0,0.0,0.0,0.0,,3.0580832036212087,3.055242429021746,3.0604645661078393
stress,extreme_scale,hybrid_load_balanced,6,6,0,0.0,0.0,0.0,,0.05072701256722212,0.04937127837911248,0.05274352012202144
stress,extreme_scale,load_balanced,6,6,0,0.0,0.0,0.0,,0.04870919231325388,0.046559407375752926,0.049437768291682005
stress,extreme_scale,order_aware_lns,6,6,1,0.16666666666666666,0.0,0.5,325.2121807539226,0.6422737156972289,0.4160749679431319,0.8407849208451807
stress,extreme_tight_windows,assignment_milp,6,6,0,0.0,0.0,0.0,,3.03286393545568,3.0326150245964527,3.0335911149159074
stress,extreme_tight_windows,deterministic_lns,6,6,0,0.0,0.0,0.0,,0.057724413461983204,0.05289307376369834,0.05948599427938461
stress,extreme_tight_windows,edge_mlp_seed_17,6,6,0,0.0,0.0,0.0,,0.005092257633805275,0.004724694881588221,0.005575635936111212
stress,extreme_tight_windows,edge_mlp_seed_29,6,6,0,0.0,0.0,0.0,,0.004389879293739796,0.004104388412088156,0.004920054692775011
stress,extreme_tight_windows,edge_mlp_seed_43,6,6,0,0.0,0.0,0.0,,0.00459673535078764,0.00421359995380044,0.005136504769325256
stress,extreme_tight_windows,greedy,6,6,0,0.0,0.0,0.0,,0.029342595487833023,0.026860796846449375,0.030123517382889986
stress,extreme_tight_windows,hungarian,6,6,0,0.0,0.0,0.0,,0.03576264064759016,0.03182072518393397,0.036535495426505804
stress,extreme_tight_windows,hybrid_assignment_milp,6,6,0,0.0,0.0,0.0,,3.0338827492669225,3.032748370897025,3.03594028390944
stress,extreme_tight_windows,hybrid_load_balanced,6,6,0,0.0,0.0,0.0,,0.029509160667657852,0.027491279877722263,0.030712162610143423
stress,extreme_tight_windows,load_balanced,6,6,0,0.0,0.0,0.0,,0.029201158322393894,0.02673519914969802,0.029860612004995346
stress,extreme_tight_windows,order_aware_lns,6,6,0,0.0,0.0,0.0,,0.14369536191225052,0.12682054284960032,0.1767349662259221
