split,cell_id,method,groups,instances,verified_instances,group_verified_rate,group_verified_ci_low,group_verified_ci_high,median_runtime_s,runtime_q1_s,runtime_q3_s,conditional_mean_score,conditional_mean_makespan_s,conditional_mean_load_variance_s2,conditional_mean_travel_setup_time_s
frozen_test,ood_tight_windows,hungarian,12,24,5,0.20833333333333334,0.08333333333333333,0.3333333333333333,0.017547715979162604,0.015908781759208068,0.021734455483965576,106.35692270971512,101.67249149268854,2.628643239349134,45.52999055059122
frozen_test,ood_tight_windows,hybrid_assignment_milp,12,24,8,0.3333333333333333,0.16666666666666666,0.5,1.10981973449816,0.4106736250105314,1.5532053617498605,133.4963105970004,127.15800439009064,12.316985901177882,57.22456911850861
frozen_test,ood_tight_windows,hybrid_load_balanced,12,24,6,0.25,0.08333333333333333,0.4583333333333333,0.01720100748934783,0.014972569726523943,0.021112408765475266,150.13307236062275,142.02908651281913,7.184811902041137,77.44745252701546
frozen_test,ood_tight_windows,load_balanced,12,24,4,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.015991344989743084,0.014487560227280483,0.017611895003938116,117.06256822668962,110.60165809215158,3.1466934861791622,63.03575460229089
frozen_test,ood_tight_windows,order_aware_lns,12,24,12,0.5,0.375,0.625,0.25908084452385083,0.1492225517431507,0.5798176319949562,104.28097231450309,97.22880975967841,5.948188714987863,67.54753119075285
stress,designed_edge_infeasible,assignment_milp,6,6,0,0.0,0.0,0.0,0.0077710025070700794,0.006345295754726976,0.00874983450921718,,,,
stress,designed_edge_infeasible,deterministic_lns,6,6,0,0.0,0.0,0.0,0.015572305506793782,0.012741592232487164,0.017593269265489653,,,,
stress,designed_edge_infeasible,greedy,6,6,0,0.0,0.0,0.0,0.007855299481889233,0.006414455216145143,0.008883964008418843,,,,
stress,designed_edge_infeasible,hungarian,6,6,0,0.0,0.0,0.0,0.007788775954395533,0.006403213483281434,0.008777424227446318,,,,
stress,designed_edge_infeasible,hybrid_assignment_milp,6,6,0,0.0,0.0,0.0,0.007782936474541202,0.006450056011090055,0.00876418846019078,,,,
stress,designed_edge_infeasible,hybrid_load_balanced,6,6,0,0.0,0.0,0.0,0.007836739969206974,0.0063925764843588695,0.008787650236627087,,,,
stress,designed_edge_infeasible,load_balanced,6,6,0,0.0,0.0,0.0,0.00780024949926883,0.006360179278999567,0.008793219269136898,,,,
stress,designed_edge_infeasible,order_aware_lns,6,6,0,0.0,0.0,0.0,0.00783273097476922,0.006410651476471685,0.008753917762078345,,,,
stress,extreme_resource,assignment_milp,6,6,1,0.16666666666666666,0.0,0.5,3.0409131379856262,2.8884844262356637,3.045007316992269,186.42046123567698,178.9437681510046,15.351285241526682,67.09128822596065
stress,extreme_resource,deterministic_lns,6,6,1,0.16666666666666666,0.0,0.5,0.07773423052276485,0.07607866250327788,0.08023990775109269,167.26895519316616,158.30328270886514,19.854232990652623,79.72960834768386
stress,extreme_resource,greedy,6,6,1,0.16666666666666666,0.0,0.5,0.03908576146932319,0.03827448849915527,0.04039614900830202,216.8259590127329,208.32041531424414,72.90044166002333,48.6052161548759
stress,extreme_resource,hungarian,6,6,1,0.16666666666666666,0.0,0.5,0.044595549028599635,0.042831495506106876,0.04574539899476804,202.15141657558502,195.56705956638615,15.683064180651835,58.0020380016628
stress,extreme_resource,hybrid_assignment_milp,6,6,1,0.16666666666666666,0.0,0.5,3.0416481395368464,2.901762629247969,3.0454263489955338,186.42046123567698,178.9437681510046,15.351285241526682,67.09128822596065
stress,extreme_resource,hybrid_load_balanced,6,6,2,0.3333333333333333,0.0,0.6666666666666666,0.04315157700330019,0.039891726773930714,0.04890139577037189,249.80949674299717,237.42321676727374,13.490877536266284,117.11736098910103
stress,extreme_resource,load_balanced,6,6,1,0.16666666666666666,0.0,0.5,0.04011122850351967,0.0389477069984423,0.04120953749225009,198.9017336699118,190.1138327000065,15.250653177883608,80.25368311011134
stress,extreme_resource,order_aware_lns,6,6,3,0.5,0.16666666666666666,0.8333333333333334,0.7781967400223948,0.41980239121767227,0.9851053935126401,216.05449970907398,204.37079753098254,8.77917438471611,112.44743458855649
stress,extreme_scale,assignment_milp,6,6,0,0.0,0.0,0.0,3.06183282652637,3.05930696001451,3.063335567028844,,,,
stress,extreme_scale,deterministic_lns,6,6,0,0.0,0.0,0.0,0.1074094470241107,0.10314003248640802,0.10881077450176235,,,,
stress,extreme_scale,greedy,6,6,0,0.0,0.0,0.0,0.05485023302026093,0.05217668124532793,0.05538548000913579,,,,
stress,extreme_scale,hungarian,6,6,0,0.0,0.0,0.0,0.07183631797670387,0.06564870470901951,0.07266555922979023,,,,
stress,extreme_scale,hybrid_assignment_milp,6,6,0,0.0,0.0,0.0,3.0631271500024013,3.0616005780320847,3.067789594992064,,,,
stress,extreme_scale,hybrid_load_balanced,6,6,0,0.0,0.0,0.0,0.056477695994544774,0.055045358240022324,0.05913868677453138,,,,
stress,extreme_scale,load_balanced,6,6,0,0.0,0.0,0.0,0.05406410599243827,0.052172014737152494,0.05538445126148872,,,,
stress,extreme_scale,order_aware_lns,6,6,1,0.16666666666666666,0.0,0.5,0.7086236244940665,0.45532617600110825,0.929979953012662,325.2121807539226,303.2558116016288,24.167859880473944,207.47976158270072
stress,extreme_tight_windows,assignment_milp,6,6,0,0.0,0.0,0.0,3.03660443550325,3.0340964167553466,3.0385685167566407,,,,
stress,extreme_tight_windows,deterministic_lns,6,6,0,0.0,0.0,0.0,0.0644743160228245,0.059032561504864134,0.06652221699187066,,,,
stress,extreme_tight_windows,greedy,6,6,0,0.0,0.0,0.0,0.032666368497302756,0.029907169737271033,0.03361906626378186,,,,
stress,extreme_tight_windows,hungarian,6,6,0,0.0,0.0,0.0,0.03989913850091398,0.03534480898815673,0.04069688751769718,,,,
stress,extreme_tight_windows,hybrid_assignment_milp,6,6,0,0.0,0.0,0.0,3.0361933594977017,3.035126506758388,3.039801955485018,,,,
stress,extreme_tight_windows,hybrid_load_balanced,6,6,0,0.0,0.0,0.0,0.03318353052600287,0.030649866253952496,0.03439257849822752,,,,
stress,extreme_tight_windows,load_balanced,6,6,0,0.0,0.0,0.0,0.032701450487365946,0.029719996280618943,0.033460047241533175,,,,
stress,extreme_tight_windows,order_aware_lns,6,6,0,0.0,0.0,0.0,0.16511603150865994,0.13984980074747,0.19712080151657574,,,,
train,medium_balanced,assignment_milp,24,48,48,1.0,1.0,1.0,0.2495468510023784,0.07291696550964843,0.3741046227660263,86.97330910985556,82.79744063878945,12.771575891219388,35.37289676505151
train,medium_balanced,deterministic_lns,24,48,48,1.0,1.0,1.0,0.37220142548903823,0.3113504584907787,0.40367159798915964,73.28312825200125,68.70125622310401,14.911928161197016,38.36275620837384
train,medium_balanced,greedy,24,48,48,1.0,1.0,1.0,0.011841326981084421,0.010511590749956667,0.013335858515347354,88.0596625184808,82.31063524603083,57.94861783234878,28.515963808325324
train,medium_balanced,hungarian,24,48,48,1.0,1.0,1.0,0.0126353949890472,0.010986848530592397,0.014154125514323823,84.70628590757944,80.58758153691906,13.943430167295988,34.21532862295577
train,medium_balanced,hybrid_assignment_milp,24,48,48,1.0,1.0,1.0,0.25254639497143216,0.07480170571943745,0.375751598723582,86.53677507323822,82.17302769771068,12.771575891219388,37.25168580966565
train,medium_balanced,hybrid_load_balanced,24,48,48,1.0,1.0,1.0,0.01362709901877679,0.011499027736135758,0.01510546324425377,85.41734968053844,80.05917233181414,20.315757032612947,43.42389497093653
train,medium_balanced,load_balanced,24,48,48,1.0,1.0,1.0,0.011854623997351155,0.010524249009904452,0.013167815763154067,85.41734968053844,80.05917233181414,20.315757032612947,43.42389497093653
train,medium_balanced,order_aware_lns,24,48,48,1.0,1.0,1.0,0.51197787449928,0.4106748607446207,0.5509847607463598,72.1563693278923,67.39627580127508,16.254045304887647,39.473912613728416
train,medium_precedence,assignment_milp,24,48,42,0.875,0.7291666666666666,0.9791666666666666,0.5781867324840277,0.2764973012235714,0.9100564847612986,103.25329785491687,98.80607672137658,10.167109486110567,39.388656592347466
train,medium_precedence,deterministic_lns,24,48,43,0.8958333333333334,0.7916666666666666,0.9791666666666666,0.4078166249964852,0.34375411727523897,0.455176842486253,84.40493844600557,79.25993211134309,12.479559113109005,45.210283790070335
train,medium_precedence,greedy,24,48,44,0.9166666666666666,0.8125,1.0,0.016429081006208435,0.013292667252244428,0.01830590347526595,105.82383602024039,98.10628506114405,94.95253407110258,29.699242555412113
train,medium_precedence,hungarian,24,48,43,0.8958333333333334,0.7708333333333334,1.0,0.017239319015061483,0.014055559789994732,0.019565953480196185,100.78395815527564,96.59785940316112,10.949868181633487,36.386053430328374
